O*NET-SOC Code,Active Learning,Active Listening,Complex Problem Solving,Coordination,Critical Thinking,Equipment Maintenance,Equipment Selection,Installation,Instructing,Judgment and Decision Making,Learning Strategies,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Mathematics,Monitoring,Negotiation,Operation Monitoring,Operation and Control,Operations Analysis,Persuasion,Programming,Quality Control Analysis,Reading Comprehension,Repairing,Science,Service Orientation,Social Perceptiveness,Speaking,Systems Analysis,Systems Evaluation,Technology Design,Time Management,Troubleshooting,Writing,major,minor,broad,detailed
11-1011.00,4.75,4.88,5.0,5.12,4.75,0.0,0.62,0.0,3.88,5.75,3.88,5.5,4.75,5.38,3.62,5.5,4.62,1.62,1.5,4.25,5.0,0.62,1.0,4.75,0.0,1.12,3.38,4.25,4.88,5.38,5.12,0.75,4.75,0.0,4.38,Management Occupations,Top Executives,Chief Executives,Chief Executives
11-1011.03,3.75,4.12,4.25,3.75,4.12,0.0,0.5,0.0,3.38,3.75,3.5,3.38,2.62,3.75,3.38,4.12,3.25,2.12,1.25,3.38,3.88,0.88,2.12,4.25,0.0,1.5,3.38,3.62,4.25,3.88,3.75,1.0,3.5,0.12,4.38,Management Occupations,Top Executives,Chief Executives,Chief Executives
11-1021.00,3.5,3.62,3.5,4.0,3.88,0.0,0.25,0.12,3.12,3.5,3.25,3.0,3.25,3.62,2.5,3.88,3.5,2.88,1.75,3.5,3.5,0.5,2.0,3.88,0.0,1.25,3.0,3.62,3.75,3.38,3.25,0.75,3.5,1.38,3.75,Management Occupations,Top Executives,General and Operations Managers,General and Operations Managers
11-2011.00,4.0,4.12,4.0,4.38,4.12,0.0,0.5,0.0,3.5,4.12,3.5,3.75,2.62,4.0,3.12,4.25,3.75,1.0,0.38,3.25,3.62,0.62,1.38,4.12,0.0,0.88,3.25,3.75,4.38,3.38,3.75,0.88,4.0,0.12,3.88,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Advertising and Promotions Managers,Advertising and Promotions Managers
11-2021.00,4.12,4.25,3.88,3.88,4.38,0.0,0.0,0.0,3.62,4.0,3.5,3.88,2.88,4.0,3.25,4.25,4.0,1.5,0.0,3.88,4.25,1.38,1.75,4.25,0.0,2.0,3.5,4.12,4.25,3.75,3.88,1.12,3.75,0.0,3.75,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Marketing and Sales Managers,Marketing Managers
11-2022.00,3.88,3.88,4.0,4.25,4.0,0.0,0.0,0.0,3.62,4.12,3.88,3.88,3.0,4.25,3.38,4.75,3.88,2.62,2.12,3.12,4.25,1.25,1.88,3.88,0.0,0.88,3.75,4.25,4.25,3.75,4.0,1.12,4.12,0.0,4.0,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Marketing and Sales Managers,Sales Managers
11-2031.00,3.88,4.25,4.0,4.38,4.12,0.0,0.0,0.0,3.62,4.12,3.5,3.75,2.88,4.0,2.75,4.38,4.0,1.12,0.12,2.62,4.38,1.0,1.75,4.25,0.0,0.75,3.62,4.12,4.5,3.75,3.75,0.75,3.75,0.0,4.38,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Public Relations and Fundraising Managers,Public Relations and Fundraising Managers
11-3011.00,3.38,3.75,3.25,3.75,3.62,0.0,0.0,0.0,3.12,3.25,3.12,2.75,2.75,3.5,2.25,3.5,3.38,2.25,0.38,2.38,3.25,0.5,2.0,3.88,0.0,0.38,3.38,3.62,3.88,3.0,3.0,0.5,3.62,1.0,3.5,Management Occupations,Operations Specialties Managers,Administrative Services Managers,Administrative Services Managers
11-3021.00,3.88,3.75,3.75,3.62,3.88,2.38,2.75,0.25,3.88,3.62,3.12,3.25,3.25,3.62,2.62,4.12,3.38,3.12,2.12,3.25,3.38,2.5,2.88,4.0,2.5,1.62,3.38,3.5,3.75,3.5,4.12,2.25,3.62,3.12,3.88,Management Occupations,Operations Specialties Managers,Computer and Information Systems Managers,Computer and Information Systems Managers
11-3031.01,4.25,4.25,4.12,3.75,4.5,0.0,0.0,0.0,3.38,4.5,3.38,5.25,3.0,3.75,4.12,4.25,3.25,1.12,0.0,3.25,3.75,1.5,1.5,4.25,0.0,0.5,2.88,3.62,4.12,4.38,4.12,0.5,4.0,0.0,4.0,Management Occupations,Operations Specialties Managers,Financial Managers,Financial Managers
11-3031.02,4.0,4.0,3.5,3.88,4.0,0.0,0.0,0.0,3.88,4.0,4.0,3.38,1.88,4.0,3.38,4.5,3.5,0.75,0.38,2.5,4.0,0.38,0.75,4.0,0.12,0.38,3.88,4.0,4.0,3.38,3.62,0.5,4.0,0.0,4.0,Management Occupations,Operations Specialties Managers,Financial Managers,Financial Managers
11-3051.00,4.0,4.12,3.75,4.38,4.12,1.25,1.75,0.0,3.5,4.5,3.88,4.0,4.0,4.38,3.5,4.88,3.75,3.5,3.0,2.88,3.75,1.12,3.75,4.25,1.25,1.38,3.0,3.75,4.0,3.88,3.75,1.5,4.12,2.0,3.88,Management Occupations,Operations Specialties Managers,Industrial Production Managers,Industrial Production Managers
11-3051.01,4.0,4.12,4.0,3.5,4.12,2.38,1.88,0.25,3.75,4.25,3.5,2.88,2.75,3.25,3.38,4.12,3.25,3.5,2.75,2.75,3.25,1.5,3.88,4.0,2.25,2.38,3.25,3.75,3.75,3.5,3.5,1.38,3.75,2.88,3.75,Management Occupations,Operations Specialties Managers,Industrial Production Managers,Industrial Production Managers
11-3051.02,3.25,3.62,3.62,3.62,3.88,2.75,2.62,0.0,3.5,3.62,3.38,3.75,3.25,3.88,3.75,4.38,3.38,3.5,2.88,2.38,3.38,1.25,2.88,4.25,3.0,2.5,3.0,3.62,4.0,3.62,3.75,1.88,3.88,3.12,3.75,Management Occupations,Operations Specialties Managers,Industrial Production Managers,Industrial Production Managers
11-3051.04,3.38,3.75,3.75,4.12,4.0,2.88,1.88,0.12,3.5,3.62,3.38,4.0,3.62,4.0,3.38,4.75,3.12,3.88,2.88,2.0,3.5,1.38,3.38,4.25,2.75,2.5,2.62,3.75,3.88,3.62,3.5,1.25,3.75,3.0,3.75,Management Occupations,Operations Specialties Managers,Industrial Production Managers,Industrial Production Managers
11-3061.00,4.12,4.12,3.12,4.25,4.0,0.0,0.0,0.0,3.62,3.88,3.75,4.38,3.88,4.25,3.5,4.25,4.38,1.88,0.38,2.62,4.38,1.12,3.0,4.0,0.0,0.62,3.62,4.12,4.0,3.75,3.75,1.12,3.88,1.5,4.0,Management Occupations,Operations Specialties Managers,Purchasing Managers,Purchasing Managers
11-3071.01,3.62,3.88,3.5,4.12,4.0,0.0,0.0,0.0,3.5,3.75,3.5,3.12,2.88,3.62,3.25,4.12,3.75,1.5,1.38,3.12,3.75,0.38,1.62,4.0,0.25,0.88,3.25,3.88,4.0,3.75,4.0,1.0,3.88,0.5,3.88,Management Occupations,Operations Specialties Managers,"Transportation, Storage, and Distribution Managers","Transportation, Storage, and Distribution Managers"
11-3071.02,3.12,3.5,3.12,3.75,3.62,0.25,0.62,0.0,3.0,3.12,3.12,3.5,3.0,3.5,2.88,3.75,3.25,2.25,2.38,3.12,3.25,0.5,2.12,3.88,0.25,0.5,3.0,3.5,3.62,2.88,3.0,0.62,3.5,1.25,3.38,Management Occupations,Operations Specialties Managers,"Transportation, Storage, and Distribution Managers","Transportation, Storage, and Distribution Managers"
11-3071.03,4.0,3.88,3.88,3.88,4.38,0.0,0.5,0.0,3.12,3.75,3.5,3.25,3.38,4.12,3.25,4.38,3.75,2.88,1.5,2.75,3.62,1.38,1.38,4.0,0.0,0.38,3.25,3.75,3.88,3.12,3.62,1.12,4.12,0.5,3.62,Management Occupations,Operations Specialties Managers,"Transportation, Storage, and Distribution Managers","Transportation, Storage, and Distribution Managers"
11-3111.00,3.62,3.75,3.25,3.5,3.88,0.0,0.0,0.0,3.0,3.5,2.88,3.5,2.0,3.38,2.88,3.38,3.12,0.75,0.0,3.12,3.12,0.62,0.88,4.0,0.0,0.75,3.25,3.5,3.88,3.5,3.62,0.62,3.62,0.0,3.62,Management Occupations,Operations Specialties Managers,Compensation and Benefits Managers,Compensation and Benefits Managers
11-3121.00,4.12,4.38,3.75,4.12,4.25,0.0,0.0,0.0,4.0,4.12,4.0,3.88,3.25,4.62,3.38,4.38,4.0,1.12,0.38,2.75,4.12,1.62,1.38,4.25,0.0,1.5,3.75,4.12,4.0,3.88,4.25,1.12,4.12,0.0,4.12,Management Occupations,Operations Specialties Managers,Human Resources Managers,Human Resources Managers
11-3131.00,4.38,4.38,4.0,4.12,4.12,0.0,0.0,0.0,4.62,4.0,5.38,4.25,3.0,4.38,2.88,4.38,3.25,1.75,0.12,2.88,4.12,1.12,3.0,4.12,0.0,1.0,3.75,3.88,4.75,3.88,4.12,0.88,4.12,1.38,4.12,Management Occupations,Operations Specialties Managers,Training and Development Managers,Training and Development Managers
